datetime,wind_federal_dayaheadforecast,wind_Flanders_dayaheadforecast,wind_Wallonia_dayaheadforecast,day_ahead_load,Solar_day_ahead_forecasted
2023-10-27T21:00:00+00:00,100.5,66.5,15.7,8350.89,0.0
2023-10-27T20:45:00+00:00,101.4,66.8,15.5,8490.74,0.0
2023-10-27T20:30:00+00:00,102.0,66.9,15.4,8624.85,0.0
2023-10-27T20:15:00+00:00,102.4,67.0,15.3,8792.14,0.0
2023-10-27T20:00:00+00:00,102.5,67.2,15.0,8857.2,0.0
2023-10-27T19:45:00+00:00,102.6,66.9,14.8,8973.51,0.0
2023-10-27T19:30:00+00:00,103.0,67.1,14.7,9026.19,0.0
2023-10-27T19:15:00+00:00,103.3,67.0,14.5,9070.3,0.0
2023-10-27T19:00:00+00:00,104.5,67.1,14.4,9063.85,0.0
2023-10-27T18:45:00+00:00,106.5,67.1,14.3,9187.84,0.0
2023-10-27T18:30:00+00:00,106.9,67.1,14.1,9355.85,0.0
2023-10-27T18:15:00+00:00,106.8,67.0,14.1,9494.14,0.0
2023-10-27T18:00:00+00:00,105.9,67.5,14.1,9613.16,0.0
2023-10-27T17:45:00+00:00,103.4,67.6,14.2,9767.51,0.0
2023-10-27T17:30:00+00:00,102.3,67.8,14.3,9882.89,0.0
2023-10-27T17:15:00+00:00,101.2,68.1,14.3,10021.37,0.0
2023-10-27T17:00:00+00:00,101.2,68.6,14.3,10270.18,0.0
2023-10-27T16:45:00+00:00,102.5,68.5,14.5,10327.22,0.0
2023-10-27T16:30:00+00:00,101.8,68.8,14.4,10313.16,0.0
2023-10-27T16:15:00+00:00,99.7,69.2,14.5,10384.35,0.0
2023-10-27T16:00:00+00:00,97.0,69.5,14.4,10319.31,0.0
2023-10-27T15:45:00+00:00,92.6,69.8,14.4,10273.09,4.261
2023-10-27T15:30:00+00:00,89.3,70.5,14.4,10245.32,23.536
2023-10-27T15:15:00+00:00,86.2,71.2,14.5,10201.67,59.057
2023-10-27T15:00:00+00:00,82.8,71.7,14.7,10078.86,106.998
2023-10-27T14:45:00+00:00,78.9,72.1,14.8,9998.69,163.577
2023-10-27T14:30:00+00:00,75.5,72.8,15.0,9847.75,225.723
2023-10-27T14:15:00+00:00,72.8,73.2,15.0,9768.63,294.711
2023-10-27T14:00:00+00:00,70.3,74.1,15.2,9769.95,366.82
2023-10-27T13:45:00+00:00,68.1,75.2,15.4,9692.74,436.133
2023-10-27T13:30:00+00:00,65.9,75.8,15.7,9665.24,479.636
2023-10-27T13:15:00+00:00,64.0,76.5,15.8,9664.92,490.099
2023-10-27T13:00:00+00:00,62.3,77.1,16.1,9705.3,490.026
2023-10-27T12:45:00+00:00,60.3,78.2,16.7,9740.34,484.476
2023-10-27T12:30:00+00:00,58.9,78.7,16.9,9778.22,485.296
2023-10-27T12:15:00+00:00,57.8,79.1,17.2,9832.72,491.047
2023-10-27T12:00:00+00:00,57.6,79.2,17.3,9789.25,494.317
2023-10-27T11:45:00+00:00,58.0,79.0,17.6,9862.27,497.271
2023-10-27T11:30:00+00:00,57.8,78.9,17.8,9923.19,500.981
2023-10-27T11:15:00+00:00,57.5,78.3,17.8,9971.84,502.753
2023-10-27T11:00:00+00:00,56.5,77.6,17.7,10019.45,502.353
2023-10-27T10:45:00+00:00,55.4,76.7,17.6,10126.1,500.935
2023-10-27T10:30:00+00:00,54.2,76.1,17.6,10127.31,483.166
2023-10-27T10:15:00+00:00,53.3,75.2,17.5,10175.21,451.702
2023-10-27T10:00:00+00:00,52.6,74.3,17.5,10214.46,419.563
2023-10-27T09:45:00+00:00,51.7,73.3,17.6,10199.05,389.185
2023-10-27T09:30:00+00:00,50.9,72.4,17.5,10209.27,351.77
2023-10-27T09:15:00+00:00,50.1,71.7,17.3,10320.0,310.557
2023-10-27T09:00:00+00:00,49.5,70.4,17.2,10494.81,274.387
2023-10-27T08:45:00+00:00,49.8,69.5,16.9,10448.2,243.528
2023-10-27T08:30:00+00:00,49.0,68.3,16.8,10418.43,219.541
2023-10-27T08:15:00+00:00,47.9,67.4,16.6,10365.14,201.364
2023-10-27T08:00:00+00:00,45.8,66.8,16.4,10356.17,183.014
2023-10-27T07:45:00+00:00,41.9,65.7,16.3,10376.32,162.031
2023-10-27T07:30:00+00:00,40.3,64.9,16.1,10383.15,137.049
2023-10-27T07:15:00+00:00,40.5,64.3,15.8,10490.84,109.651
2023-10-27T07:00:00+00:00,41.7,63.5,15.6,10291.4,85.09
2023-10-27T06:45:00+00:00,44.1,62.7,15.3,10318.61,64.428
2023-10-27T06:30:00+00:00,45.8,62.1,15.0,10290.51,47.784
2023-10-27T06:15:00+00:00,47.5,61.5,14.7,10235.21,33.758
2023-10-27T06:00:00+00:00,47.6,61.1,14.4,10229.27,21.322
2023-10-27T05:45:00+00:00,44.8,77.8,14.2,10167.65,10.822
2023-10-27T05:30:00+00:00,46.7,77.4,13.8,10072.95,3.189
2023-10-27T05:15:00+00:00,51.5,77.1,13.5,10011.59,0.091
2023-10-27T05:00:00+00:00,63.0,76.7,13.2,9932.72,0.0
2023-10-27T04:45:00+00:00,85.1,76.4,12.8,9849.76,0.0
2023-10-27T04:30:00+00:00,96.7,76.4,12.5,9662.73,0.0
2023-10-27T04:15:00+00:00,101.9,75.9,12.2,9442.5,0.0
2023-10-27T04:00:00+00:00,103.8,75.7,11.9,9144.84,0.0
2023-10-27T03:45:00+00:00,98.4,75.2,11.5,8862.2,0.0
2023-10-27T03:30:00+00:00,97.7,74.8,11.3,8599.04,0.0
2023-10-27T03:15:00+00:00,99.4,74.3,10.9,8371.28,0.0
2023-10-27T03:00:00+00:00,100.8,74.1,10.7,8055.0,0.0
2023-10-27T02:45:00+00:00,101.7,73.6,10.4,7912.07,0.0
2023-10-27T02:30:00+00:00,104.2,73.3,10.2,7808.91,0.0
2023-10-27T02:15:00+00:00,107.9,73.3,9.9,7727.77,0.0
2023-10-27T02:00:00+00:00,111.8,73.2,9.6,7519.87,0.0
2023-10-27T01:45:00+00:00,116.4,72.6,9.3,7482.65,0.0
2023-10-27T01:30:00+00:00,122.4,72.3,9.1,7453.94,0.0
2023-10-27T01:15:00+00:00,130.0,72.9,8.9,7415.9,0.0
2023-10-27T01:00:00+00:00,138.2,74.0,8.8,7342.25,0.0
2023-10-27T00:45:00+00:00,145.5,75.0,8.6,7343.85,0.0
2023-10-27T00:30:00+00:00,157.6,76.8,8.6,7354.21,0.0
2023-10-27T00:15:00+00:00,174.2,78.3,8.9,7371.0,0.0
2023-10-27T00:00:00+00:00,190.9,80.9,9.1,7369.37,0.0
2023-10-26T23:45:00+00:00,205.1,84.8,9.3,7376.73,0.0
2023-10-26T23:30:00+00:00,230.2,87.7,10.0,7408.24,0.0
2023-10-26T23:15:00+00:00,261.7,89.7,10.8,7439.15,0.0
2023-10-26T23:00:00+00:00,304.1,91.7,12.0,7512.14,0.0
2023-10-26T22:45:00+00:00,363.9,110.8,15.3,7604.44,0.0
2023-10-26T22:30:00+00:00,410.8,113.7,16.6,7697.74,0.0
2023-10-26T22:15:00+00:00,450.8,117.0,17.5,7788.87,0.0
2023-10-26T22:00:00+00:00,489.9,119.7,18.4,7862.18,0.0
2023-10-26T21:45:00+00:00,525.1,122.8,18.9,7945.55,0.0
2023-10-26T21:30:00+00:00,562.5,125.7,19.6,8048.04,0.0
2023-10-26T21:15:00+00:00,600.9,128.3,20.3,8202.53,0.0
2023-10-26T21:00:00+00:00,639.9,130.9,20.7,8351.65,0.0
2023-10-26T20:45:00+00:00,682.0,133.1,21.2,8491.51,0.0
2023-10-26T20:30:00+00:00,719.3,135.2,21.6,8625.63,0.0
2023-10-26T20:15:00+00:00,753.5,137.3,22.0,8792.94,0.0
2023-10-26T20:00:00+00:00,786.0,139.4,22.3,8892.12,0.0
2023-10-26T19:45:00+00:00,816.4,141.2,22.6,9008.88,0.0
2023-10-26T19:30:00+00:00,845.7,142.8,22.8,9061.77,0.0
2023-10-26T19:15:00+00:00,873.2,144.7,23.3,9106.05,0.0
2023-10-26T19:00:00+00:00,899.9,146.8,23.6,9149.79,0.0
2023-10-26T18:45:00+00:00,925.4,148.7,24.0,9274.96,0.0
2023-10-26T18:30:00+00:00,948.3,150.4,24.6,9444.56,0.0
2023-10-26T18:15:00+00:00,969.4,152.5,25.0,9584.16,0.0
2023-10-26T18:00:00+00:00,985.6,154.1,25.5,9695.01,0.0
2023-10-26T17:45:00+00:00,993.3,155.8,25.9,9850.67,0.0
2023-10-26T17:30:00+00:00,1009.5,157.2,26.6,9967.03,0.0
2023-10-26T17:15:00+00:00,1030.8,159.1,27.5,10106.69,0.0
2023-10-26T17:00:00+00:00,1053.7,160.7,28.6,10339.86,0.0
2023-10-26T16:45:00+00:00,1079.5,161.9,29.8,10397.29,0.0
2023-10-26T16:30:00+00:00,1106.3,163.1,30.9,10383.13,0.0
2023-10-26T16:15:00+00:00,1134.0,164.1,32.2,10454.8,0.0
2023-10-26T16:00:00+00:00,1164.0,165.0,33.6,10385.26,0.0
2023-10-26T15:45:00+00:00,1197.0,166.0,35.2,10338.74,4.802
2023-10-26T15:30:00+00:00,1229.5,167.0,36.8,10310.8,21.848
2023-10-26T15:15:00+00:00,1262.1,168.3,38.3,10266.87,49.939
2023-10-26T15:00:00+00:00,1296.3,169.7,39.9,10212.56,88.1
2023-10-26T14:45:00+00:00,1332.3,170.9,41.5,10131.32,133.443
2023-10-26T14:30:00+00:00,1367.5,172.0,43.1,9978.38,183.049
2023-10-26T14:15:00+00:00,1402.3,173.4,44.6,9898.22,237.906
2023-10-26T14:00:00+00:00,1438.3,174.4,46.2,9829.16,296.243
2023-10-26T13:45:00+00:00,1477.7,175.8,47.9,9751.48,352.244
2023-10-26T13:30:00+00:00,1512.7,177.0,49.3,9723.81,390.804
2023-10-26T13:15:00+00:00,1544.8,178.2,50.6,9723.49,409.93
2023-10-26T13:00:00+00:00,1576.0,179.6,51.9,9774.08,420.982
2023-10-26T12:45:00+00:00,1606.0,181.2,53.2,9809.38,425.758
2023-10-26T12:30:00+00:00,1634.0,182.3,54.2,9847.52,444.401
2023-10-26T12:15:00+00:00,1658.1,182.8,55.0,9902.41,476.382
2023-10-26T12:00:00+00:00,1685.3,183.3,55.6,9840.93,506.939
2023-10-26T11:45:00+00:00,1719.8,183.7,56.2,9914.33,537.568
2023-10-26T11:30:00+00:00,1737.2,183.7,56.4,9975.57,572.624
2023-10-26T11:15:00+00:00,1743.2,183.6,56.4,10024.47,611.641
2023-10-26T11:00:00+00:00,1738.0,183.3,55.9,10032.92,653.242
2023-10-26T10:45:00+00:00,1714.7,182.1,54.7,10139.72,704.65
2023-10-26T10:30:00+00:00,1700.1,181.4,54.0,10140.93,757.159
2023-10-26T10:15:00+00:00,1689.5,180.6,53.4,10188.89,805.062
2023-10-26T10:00:00+00:00,1675.9,180.2,52.6,10150.09,847.484
2023-10-26T09:45:00+00:00,1660.0,179.5,51.8,10134.78,887.078
2023-10-26T09:30:00+00:00,1644.3,178.6,51.0,10144.93,896.647
2023-10-26T09:15:00+00:00,1627.9,177.9,50.5,10254.97,883.24
2023-10-26T09:00:00+00:00,1610.8,177.4,50.0,10397.21,882.453
2023-10-26T08:45:00+00:00,1592.5,176.7,49.7,10351.03,890.37
2023-10-26T08:30:00+00:00,1573.3,176.1,49.2,10321.54,883.898
2023-10-26T08:15:00+00:00,1553.5,175.4,48.8,10268.74,874.092
2023-10-26T08:00:00+00:00,1532.3,174.7,48.5,10263.72,868.064
2023-10-26T07:45:00+00:00,1510.2,174.0,48.3,10283.69,840.037
2023-10-26T07:30:00+00:00,1487.6,173.5,48.0,10290.46,757.54
2023-10-26T07:15:00+00:00,1464.9,172.7,47.7,10397.19,642.315
2023-10-26T07:00:00+00:00,1440.8,172.0,47.4,10341.19,531.979
2023-10-26T06:45:00+00:00,1414.9,171.1,47.1,10368.53,432.829
2023-10-26T06:30:00+00:00,1390.5,170.8,46.7,10340.3,330.446
2023-10-26T06:15:00+00:00,1367.4,170.2,46.4,10284.72,226.599
2023-10-26T06:00:00+00:00,1342.6,169.6,46.0,10285.23,137.57
2023-10-26T05:45:00+00:00,1313.6,169.2,45.4,10223.27,66.098
2023-10-26T05:30:00+00:00,1291.6,168.8,45.1,10128.05,19.068
2023-10-26T05:15:00+00:00,1274.4,168.2,44.7,10066.35,0.951
2023-10-26T05:00:00+00:00,1261.6,167.7,44.4,9943.21,0.0
2023-10-26T04:45:00+00:00,1255.2,167.4,44.3,9860.16,0.0
2023-10-26T04:30:00+00:00,1246.1,166.8,44.1,9672.94,0.0
2023-10-26T04:15:00+00:00,1235.6,166.3,43.8,9452.47,0.0
2023-10-26T04:00:00+00:00,1228.4,165.9,43.7,9087.47,0.0
2023-10-26T03:45:00+00:00,1224.4,165.5,43.6,8806.6,0.0
2023-10-26T03:30:00+00:00,1217.0,165.2,43.5,8545.09,0.0
2023-10-26T03:15:00+00:00,1207.0,164.8,43.4,8318.76,0.0
2023-10-26T03:00:00+00:00,1196.7,164.1,43.4,7984.7,0.0
2023-10-26T02:45:00+00:00,1184.3,163.5,43.2,7843.01,0.0
2023-10-26T02:30:00+00:00,1172.2,162.6,43.3,7740.76,0.0
