,0
2023-03-30 00:00:00+02:00,89.71
2023-03-30 01:00:00+02:00,82.51
2023-03-30 02:00:00+02:00,80.89
2023-03-30 03:00:00+02:00,78.77
2023-03-30 04:00:00+02:00,78.08
2023-03-30 05:00:00+02:00,76.8
2023-03-30 06:00:00+02:00,89.89
2023-03-30 07:00:00+02:00,119.96
2023-03-30 08:00:00+02:00,129.3
2023-03-30 09:00:00+02:00,110.0
2023-03-30 10:00:00+02:00,90.66
2023-03-30 11:00:00+02:00,80.04
2023-03-30 12:00:00+02:00,64.55
2023-03-30 13:00:00+02:00,26.07
2023-03-30 14:00:00+02:00,5.75
2023-03-30 15:00:00+02:00,11.87
2023-03-30 16:00:00+02:00,39.62
2023-03-30 17:00:00+02:00,73.69
2023-03-30 18:00:00+02:00,98.22
2023-03-30 19:00:00+02:00,120.4
2023-03-30 20:00:00+02:00,119.76
2023-03-30 21:00:00+02:00,103.28
2023-03-30 22:00:00+02:00,100.36
2023-03-30 23:00:00+02:00,90.76
2023-03-31 00:00:00+02:00,65.13
2023-03-31 01:00:00+02:00,64.9
2023-03-31 02:00:00+02:00,57.1
2023-03-31 03:00:00+02:00,48.62
2023-03-31 04:00:00+02:00,48.1
2023-03-31 05:00:00+02:00,56.83
2023-03-31 06:00:00+02:00,101.84
2023-03-31 07:00:00+02:00,113.84
2023-03-31 08:00:00+02:00,113.75
2023-03-31 09:00:00+02:00,98.39
2023-03-31 10:00:00+02:00,91.81
2023-03-31 11:00:00+02:00,96.3
2023-03-31 12:00:00+02:00,84.66
2023-03-31 13:00:00+02:00,70.14
2023-03-31 14:00:00+02:00,77.38
2023-03-31 15:00:00+02:00,73.01
2023-03-31 16:00:00+02:00,68.8
2023-03-31 17:00:00+02:00,84.51
2023-03-31 18:00:00+02:00,102.6
2023-03-31 19:00:00+02:00,110.43
2023-03-31 20:00:00+02:00,110.63
2023-03-31 21:00:00+02:00,98.83
2023-03-31 22:00:00+02:00,86.73
2023-03-31 23:00:00+02:00,80.0
2023-04-01 00:00:00+02:00,82.19
2023-04-01 01:00:00+02:00,63.9
2023-04-01 02:00:00+02:00,53.84
2023-04-01 03:00:00+02:00,44.39
2023-04-01 04:00:00+02:00,41.22
2023-04-01 05:00:00+02:00,44.16
2023-04-01 06:00:00+02:00,42.5
2023-04-01 07:00:00+02:00,56.49
2023-04-01 08:00:00+02:00,66.03
2023-04-01 09:00:00+02:00,66.87
2023-04-01 10:00:00+02:00,58.09
2023-04-01 11:00:00+02:00,59.26
2023-04-01 12:00:00+02:00,45.26
2023-04-01 13:00:00+02:00,43.79
2023-04-01 14:00:00+02:00,36.38
2023-04-01 15:00:00+02:00,38.57
2023-04-01 16:00:00+02:00,47.04
2023-04-01 17:00:00+02:00,61.43
2023-04-01 18:00:00+02:00,94.03
2023-04-01 19:00:00+02:00,95.97
2023-04-01 20:00:00+02:00,104.0
2023-04-01 21:00:00+02:00,87.08
2023-04-01 22:00:00+02:00,81.83
2023-04-01 23:00:00+02:00,68.92
2023-04-02 00:00:00+02:00,77.35
2023-04-02 01:00:00+02:00,67.48
2023-04-02 02:00:00+02:00,58.51
2023-04-02 03:00:00+02:00,60.46
2023-04-02 04:00:00+02:00,58.51
2023-04-02 05:00:00+02:00,60.46
2023-04-02 06:00:00+02:00,58.72
2023-04-02 07:00:00+02:00,70.08
2023-04-02 08:00:00+02:00,75.55
2023-04-02 09:00:00+02:00,66.09
2023-04-02 10:00:00+02:00,56.49
2023-04-02 11:00:00+02:00,65.32
2023-04-02 12:00:00+02:00,89.94
2023-04-02 13:00:00+02:00,33.44
2023-04-02 14:00:00+02:00,18.19
2023-04-02 15:00:00+02:00,24.16
2023-04-02 16:00:00+02:00,30.74
2023-04-02 17:00:00+02:00,41.74
2023-04-02 18:00:00+02:00,100.41
2023-04-02 19:00:00+02:00,130.0
2023-04-02 20:00:00+02:00,132.41
2023-04-02 21:00:00+02:00,123.7
2023-04-02 22:00:00+02:00,119.7
2023-04-02 23:00:00+02:00,110.06
2023-04-03 00:00:00+02:00,117.95
2023-04-03 01:00:00+02:00,114.73
2023-04-03 02:00:00+02:00,116.79
2023-04-03 03:00:00+02:00,110.78
2023-04-03 04:00:00+02:00,100.43
2023-04-03 05:00:00+02:00,110.07
2023-04-03 06:00:00+02:00,139.85
2023-04-03 07:00:00+02:00,169.9
2023-04-03 08:00:00+02:00,191.74
2023-04-03 09:00:00+02:00,152.46
2023-04-03 10:00:00+02:00,143.97
2023-04-03 11:00:00+02:00,122.33
